study_ID,hedge_g,se_hedge_g,n_1,mean_age_1,gender_1,stimuli_type,test_lang,expt_num,expt_condition,hedge_g_calc,significance
MacKain et al. (1983),1.3812981,,18,177.2,0.56,syllable,native,1,exprt_1,t_value_paired,1
Kuhl & Meltzoff (1984),0.80473505,,32,135.1,NA,vowel,native,1,exprt_1a,t_value_one,1
Patterson & Werker (1999),0.56348686,,32,134,0.5,vowel,native,1,female_voice_match,t_value_one,1
Patterson & Werker (1999),0.52040682,,32,137,0.5,vowel,native,2,male_voice_match,t_value_one,1
Patterson & Werker (2002),0.8368702,,32,138.6,0.5,vowel,native,3,vowel_match,t_value_paired,1
Patterson & Werker (2002),0.5812571,,32,186.2,NA,vowel,native,5,6m_gender_match,t_value_paired,0
Patterson & Werker (2002),1.2045328,,32,256.9,NA,vowel,native,6,8m_gender_match,t_value_paired,1
Pons et al. (2009),0.9703829,,24,182.6,0.5,syllable,non-native,1,6m_Spanish,t_value_paired,1
Pons et al. (2009),0.3140658,,24,334.8,0.5,syllable,non-native,1,11m_Spanish,t_value_paired,0
Pons et al. (2009),0.9381711,,24,182.6,0.58,syllable,native,1,6m_English,t_value_paired,1
Pons et al. (2009),1.8796879,,16,334.8,0.5,syllable,native,1,11m_English,t_value_paired,1
Trehub et al. (2009),0.51677581,,48,213.1,NA,IDS,native,1,experi_1,t_value_one,1
Lewkowicz & Pons (2013),0.1913409,,96,213.1,0.46,passage,non-native,1,6m_Spanish_familiarization,t_value_paired,0
Lewkowicz & Pons (2013),0.1872698,,96,340.8,0.49,passage,non-native,1,8m_Spanish_familiarization,t_value_paired,0
Lewkowicz & Pons (2013),0.2768336,,96,213.1,0.46,passage,native,1,6m_English_familiarization,t_value_paired,0
Lewkowicz & Pons (2013),0.1139903,,96,340.8,0.49,passage,native,1,8m_English_familiarization,t_value_paired,0
Kubicek et al. (2014a),0.55061453,,47,369,0.45,IDS,native,2,IDS_German,d_value,0
Hillairet de Boisferon et al. (2015),0.32459016,,48,193,0.54,passage,native,1,6_mos_female_voice,d_value,0
Hillairet de Boisferon et al. (2015),0.01967213,,48,193,0.54,passage,native,1,6_mos_male_voice,d_value,0
Hillairet de Boisferon et al. (2015),0.58994413,,47,285,0.45,passage,native,2,9_mos_female_voice,d_value,0
Hillairet de Boisferon et al. (2015),0.09832402,,47,285,0.45,passage,native,2,9_mos_male_voice,d_value,1
Lewkowicz et al. (2015),0.21639344,,48,119.7,0.35,passage,native,1,4_mos_English_first_block,d_value,0
Lewkowicz et al. (2015),0.24590164,,48,119.7,0.35,passage,native,1,4_mos_English_second_block,d_value,0
Lewkowicz et al. (2015),0.18688525,,48,119.7,0.35,passage,non-native,1,4_mos_Spanish_first_block,d_value,0
Lewkowicz et al. (2015),0.26557377,,48,119.7,0.35,passage,non-native,1,4_mos_Spanish_second_block,d_value,0
Lewkowicz et al. (2015),0.25630332,,55,265.4,0.55,passage,native,2,8_mos_English_first_block,d_value,0
Lewkowicz et al. (2015),0.33516588,,55,265.4,0.55,passage,native,2,8_mos_English_second_block,d_value,0
Lewkowicz et al. (2015),0.25630332,,55,265.4,0.55,passage,non-native,2,8_mos_Spanish_first_block,d_value,0
Lewkowicz et al. (2015),0.27601896,,55,265.4,0.55,passage,non-native,2,8_mos_Spanish_second_block,d_value,0
Lewkowicz et al. (2015),0.70819672,,48,392,0.625,passage,native,3,12_mos_English_first_block,d_value,1
Lewkowicz et al. (2015),0.3442623,,48,392,0.625,passage,native,3,12_mos_English_second_block,d_value,0
Lewkowicz et al. (2015),0.24590164,,48,392,0.625,passage,non-native,3,12_mos_Spanish_first_block,d_value,1
Lewkowicz et al. (2015),0.78688525,,48,392,0.625,passage,non-native,3,12_mos_Spanish_second_block,d_value,1
Altvater-Mackensen et al. (2016),0.22586826,,44,175.2,0.364,vowel,native,1,ex_1,d_value,1
Richoz et al. (2017),0.56486957,,31,283,0.3870968,passage,native,1,9mos_ADS+IDS,d_value,0
Richoz et al. (2017),0.77913043,,31,379,0.4193548,passage,native,1,12mos_ADS+IDS,d_value,1
